cluster,angle,major,minor,pixel,size,diameter,center_x,center_y,color_variance
121,0,0,0,3692,10497.35446448,115.60989066372368,712.5030792524376,647.2445816359697,38.52916205458436
122,0,0,0,3394,9650.05987336,110.8460095800654,1191.2034205067766,657.124162993518,226.68506765552854
123,0,0,0,4361,12399.50238884,125.6484650782062,733.9010538867232,680.6274188947489,1190.1330176307363
124,0,0,0,2967,8435.98339548,103.63892925852885,79.40029935962251,673.5041977081227,19.153346967183907
125,0,0,0,1414,4020.38440216,71.54657508131712,886.9328524752476,656.1178305516265,22.034826517608316
126,0,0,0,2533,7202.00402452,95.75947120447488,2299.96148906435,634.9817801816027,2316.8516019649983
127,0,0,0,3346,9513.58289224,110.05939283185188,1371.013137537358,698.2284085475194,62.01809486771548
128,0,0,0,1425,4051.660377,71.82432884359574,1060.199729122807,643.8692576842105,17.51370440135426
129,0,0,0,4466,12698.04578504,127.1520901690986,1605.4742133004925,685.9824816390505,81.97555782466681
131,0,0,0,3460,9837.7157224,111.918580618334,1871.8671895953755,667.0241694219653,187.83729451368237
132,0,0,0,4218,11992.91471592,123.57124775992843,230.31940919867233,758.0868170222853,103.17546827354418
133,0,0,0,6896,19607.19295424,158.00206780479496,1463.4276967807423,734.3748216357309,598.8862138169139
134,0,0,0,1903,5410.74364732,83.00104082595826,89.25606852338413,711.4107040462427,13.776388140638076
135,0,0,0,3618,10286.95245192,114.4454221740428,2504.037293808734,737.7348708126036,94.31737609782914
136,0,0,0,1494,4247.84603736,73.54267845756851,677.9268907630523,673.1222365461847,181.5358179706779
137,0,0,0,6795,19320.0226398,156.84073715132809,128.16584103016925,779.8013672111847,1656.3015259564638
138,0,0,0,1849,5257.20704356,81.8149369169275,1212.1981453758788,690.9872505137913,104.13116703780068
139,0,0,0,3733,10613.92855252,116.25004756154773,1663.8538976158586,726.6505672649344,32.96237688360823
140,0,0,0,3472,9871.834967679999,112.11249109688688,1559.0764495391704,791.1954421082949,1177.6047454686868
141,0,0,0,2914,8285.29006216,102.70909865607508,2303.507172752231,779.2425528483184,379.46747613702144
142,0,0,0,4221,12001.444527239999,123.61518420496475,1880.385844018005,752.0284218905472,520.8149970019938
143,0,0,0,2101,5973.71119444,87.21218562556571,1723.7273801999047,792.6608703474536,58.78025853376409
144,0,0,0,4037,11478.28276628,120.89087444335826,2288.5472293287094,754.4251771117166,37.29052081964886
145,0,0,0,2138,6078.91220072,87.97676626774685,2109.8447367633303,759.8665495790458,138.62318389409506
146,0,0,0,5311,15100.60930684,138.66035092651586,470.69903121822637,808.2406486160799,383.2532327313054
147,0,0,0,1645,4677.1798738,77.16975037643687,504.13997349544076,743.9309390881459,103.85107085115622
148,0,0,0,5613,15959.27697972,142.54817626318848,2514.890845715304,829.8924847675039,243.0181857805153
149,0,0,0,6532,18572.24251408,153.77552992377642,283.49018077158604,817.9587889773424,1482.016784578179
